curve_shift_bp,par_swap_rate,fixed_leg_pv,floating_leg_pv,payer_swap_npv,receiver_swap_npv,payer_npv_change,receiver_npv_change
-100.0,0.0323254129310881,2064319.929744884,1482821.7642804887,-581498.165464395,581498.165464395,-469844.1274683436,469844.1274683436
-50.0,0.037407365280426,2036857.3333281933,1693111.6441907743,-343745.68913741875,343745.68913741875,-232091.6511413674,232091.6511413674
0.0,0.0425020331224755,2009863.486462575,1898209.448466524,-111654.03799605135,111654.03799605135,0.0,0.0
50.0,0.0476094486457878,1983329.3667042807,2098243.3699119072,114914.00320762604,-114914.00320762604,226568.04120367745,-226568.04120367745
100.0,0.0527296441204166,1957246.13716358,2293338.436239488,336092.299075908,-336092.299075908,447746.3370719594,-447746.3370719594
