curve_shift_bp,par_swap_rate,fixed_leg_pv,floating_leg_pv,payer_swap_npv,receiver_swap_npv,payer_npv_change,receiver_npv_change
-100.0,0.03232541293108813,2064319.9297448837,1482821.7642804887,-581498.165464395,581498.165464395,-469844.1274683436,469844.1274683436
-50.0,0.03740736528042607,2036857.3333281933,1693111.6441907745,-343745.68913741875,343745.68913741875,-232091.6511413674,232091.6511413674
0.0,0.04250203312247556,2009863.486462575,1898209.4484665236,-111654.03799605137,111654.03799605137,0.0,0.0
50.0,0.04760944864578784,1983329.3667042812,2098243.3699119072,114914.00320762605,-114914.00320762605,226568.04120367742,-226568.04120367742
100.0,0.05272964412041665,1957246.13716358,2293338.436239488,336092.299075908,-336092.299075908,447746.3370719594,-447746.3370719594
