inflation_shock_bp,fixed_rate_percent,market_rate_percent,nominal_discount_rate_percent,maturity_years,notional,value,value_percent_notional
-150.0,2.25,0.75,4.48,10.0,1000000.0,-109649.38474308037,-10.964938474308038
-100.0,2.25,1.25,4.48,10.0,1000000.0,-74708.7838101739,-7.47087838101739
-50.0,2.25,1.75,4.48,10.0,1000000.0,-38180.26415939558,-3.818026415939558
-25.0,2.25,2.0,4.48,10.0,1000000.0,-19300.675731952084,-1.9300675731952086
0.0,2.25,2.25,4.48,10.0,1000000.0,0.0,0.0
25.0,2.25,2.5,4.48,10.0,1000000.0,19730.09076854124,1.973009076854124
50.0,2.25,2.75,4.48,10.0,1000000.0,39898.068059617464,3.9898068059617464
100.0,2.25,3.25,4.48,10.0,1000000.0,81582.2996791086,8.15822996791086
150.0,2.25,3.75,4.48,10.0,1000000.0,125123.42310341817,12.512342310341818
