date,mahalanobis_distance,pca_reconstruction_error,kmeans_regime,max_abs_rolling_zscore
2025-06-26,2.053817306944997,0.3843434227750311,Watch input regime,0.8411420091683187
2025-06-27,1.3375594244042148,0.340628469571107,Stress input regime,1.0151608587116945
2025-06-30,2.306338846077443,0.6221063498200802,Normal input regime,1.1361377218328255
2025-07-01,2.7036796627705297,0.9653742650735412,Watch input regime,1.3141423149991962
2025-07-02,1.9058883158254116,0.5247133865071548,Watch input regime,1.071877292502131
2025-07-03,2.8025760438834224,0.6524531944768999,Stress input regime,1.3742101918319847
2025-07-07,2.447555038334868,0.7586587140093299,Watch input regime,0.9281453247381635
2025-07-08,1.7752940859953863,0.47353101066689796,Watch input regime,0.5296643163182464
2025-07-09,2.6464910238926884,0.553277769721792,Normal input regime,1.351591552866312
2025-07-10,1.6911763578251755,0.3962340552018281,Stress input regime,1.080509998529013
2025-07-11,3.150330978075273,0.9738546319527536,Stress input regime,1.4451375221483744
2025-07-14,2.0901833904153806,0.6581932121184192,Stress input regime,0.9428781572429611
2025-07-15,2.5512264336461645,0.5346104868055084,Stress input regime,1.2639274570221906
2025-07-16,2.534928596799727,0.7119243308813884,Normal input regime,1.3443730923060262
2025-07-17,1.9169526051263752,0.4764129730480702,Stress input regime,0.9993905923839076
2025-07-18,2.0627386644571275,0.5086331788855314,Normal input regime,0.8573916200077374
2025-07-21,2.2583309080980394,0.5679022099811016,Normal input regime,0.9718082121335397
2025-07-22,1.2145548559923234,0.17480274560642198,Normal input regime,0.9027808438928105
2025-07-23,2.5182975808007484,0.757059332446648,Stress input regime,1.4957933311350833
2025-07-24,5.043201045346773,1.5692857730300958,Stress input regime,3.191132719599866
2025-07-25,1.6734083955215788,0.5612631885607869,Normal input regime,0.8723303514126688
2025-07-28,1.683942817824515,0.36620377209335914,Watch input regime,0.6556934038071485
2025-07-29,4.529266468908885,1.413014067510453,Watch input regime,1.3608797618856796
2025-07-30,2.2368584453398714,0.6088004331608151,Stress input regime,1.0935944643353366
2025-07-31,2.1075837366679107,0.693249652151662,Watch input regime,1.2054991850369718
2025-08-01,5.92279513243363,1.508153163478977,Normal input regime,2.912443519720429
2025-08-04,5.281751926025917,1.335546554181812,Watch input regime,1.902034922453553
2025-08-05,1.9481570885997994,0.39957957936168526,Stress input regime,1.7617972945877487
2025-08-06,2.3130758147913686,0.5619637307512158,Watch input regime,1.529847318501887
2025-08-07,2.052427388424612,0.562278810936223,Watch input regime,1.501302486725638
2025-08-08,2.3933261943675155,0.6988038051780975,Stress input regime,1.5982504166155973
2025-08-11,1.229496383651339,0.32429062066992675,Normal input regime,1.5484214148246194
2025-08-12,2.8219519858902826,1.003867421755795,Watch input regime,1.575541133753958
2025-08-13,2.377310906280889,0.45221081875459246,Normal input regime,1.5025645272947532
2025-08-14,2.0871757734719334,0.4118741256362305,Watch input regime,1.1878459920384854
2025-08-15,2.206793287896147,0.7464938774627188,Stress input regime,1.064602500357001
2025-08-18,1.377589587099351,0.3146936069338652,Stress input regime,0.8992715287158446
2025-08-19,1.8985416315738484,0.453315940008887,Normal input regime,1.1507439087042086
2025-08-20,0.6153567830504588,0.14285676681144516,Normal input regime,0.7544528603882319
2025-08-21,2.400990621045694,0.6373916813893518,Stress input regime,1.586710585660814
