spot_shock_pct,shocked_spot_rate,model_forward_rate,long_foreign_forward_value,short_foreign_forward_value,long_foreign_forward_pnl,fx_delta
-10.0,4.6503,5.154817599626156,-521522.5944882887,521522.5944882887,-496688.1852269418,961269.9539905981
-5.0,4.90865,5.441196355160942,-273178.5018748182,273178.5018748182,-248344.09261347126,961269.9539905981
0.0,5.167,5.727575110695729,-24834.4092613469,24834.4092613469,0.0,961269.9539905981
5.0,5.42535,6.013953866230516,223509.6833521244,-223509.6833521244,248344.09261347132,961269.9539905981
10.0,5.6837,6.300332621765302,471853.7759655957,-471853.7759655957,496688.1852269426,961269.9539905981
