spot_shock_pct,vol_shock_abs,shocked_spot_rate,volatility,call_value_domestic,put_value_domestic,call_delta,put_delta,call_vega,put_vega,put_call_parity_gap
-10.0,-0.05,4.4910000000000005,0.07224076713722634,10579.026683699256,490252.73372500646,74463.18783321185,-886806.7661573864,626320.5469852857,626320.5469852857,1.1641532182693481e-10
-10.0,0.0,4.4910000000000005,0.12224076713722634,59807.47932446762,539481.1863657752,203430.46732440408,-757839.486666194,1249826.8389438768,1249826.8389438768,-2.9103830456733704e-10
-10.0,0.05,4.4910000000000005,0.17224076713722636,129446.56977302449,609120.2768143322,287985.3945592356,-673284.5594313625,1500078.3438403052,1500078.3438403052,-4.656612873077393e-10
-5.0,-0.05,4.7405,0.07224076713722634,47424.769978900105,287261.62349955377,240493.96409813824,-720775.9898924599,1448640.1577418381,1448640.1577418381,-2.9103830456733704e-11
-5.0,0.0,4.7405,0.12224076713722634,127760.98731486019,367597.8408355141,346046.55141228565,-615223.4025783126,1704798.8564046442,1704798.8564046442,-2.3283064365386963e-10
-5.0,0.05,4.7405,0.17224076713722636,215137.69608560108,454974.54960625514,400059.8966568173,-561210.0573337809,1777663.6742685554,1777663.6742685554,-4.0745362639427185e-10
0.0,-0.05,4.99,0.07224076713722634,138211.41101735624,138211.4110173549,494483.81577459275,-466786.13821600546,1912373.2987496178,1912373.2987496178,4.5059778130962513e-10
0.0,0.0,4.99,0.12224076713722634,233776.96405986682,233776.96405986548,504059.5224922796,-457210.43149831856,1910050.2028255386,1910050.2028255386,4.5059778130962513e-10
0.0,0.05,4.99,0.17224076713722636,329196.61112169287,329196.61112169194,513620.6093722222,-447649.344618376,1906537.970251688,1906537.970251688,4.3144154915353283e-11
5.0,-0.05,5.2395000000000005,0.07224076713722634,292699.6086968141,52862.75517615846,732116.3940892004,-229153.55990139782,1559974.1079152962,1559974.1079152962,2.3283064365386963e-10
5.0,0.0,5.2395000000000005,0.12224076713722634,378348.8843760758,138512.03085542086,651099.2386827687,-310170.71530782955,1807367.8392224952,1807367.8392224952,-4.656612873077393e-10
5.0,0.05,5.2395000000000005,0.17224076713722636,470756.2226389932,230919.36911833778,619135.312995483,-342134.6409951151,1876792.0030913602,1876792.0030913602,-2.9103830456733704e-11
10.0,-0.05,5.489000000000001,0.07224076713722634,495544.02514069196,15870.318099380831,877028.7158884988,-84241.23810209936,840019.8687667864,840019.8687667864,1.1641532182693481e-09
10.0,0.0,5.489000000000001,0.12224076713722634,556197.3813075353,76523.67426622564,768798.2818202213,-192471.67217037687,1478199.2246876159,1478199.2246876159,-2.9103830456733704e-10
10.0,0.05,5.489000000000001,0.17224076713722636,636927.3802726339,157253.67323132345,710131.3834939845,-251138.57049661374,1715738.4675669256,1715738.4675669256,4.0745362639427185e-10
