currency,observations,mean_return,volatility,historical_var_95,worst_return,best_return
USD,7043,1.2260359898512379e-05,0.0058278061155770024,0.009348269088351924,-0.04625068418171874,0.04293758798686054
GBP,7043,3.756496904309307e-05,0.004801345903653614,0.007289439412031051,-0.029249625644723,0.05424636072850708
JPY,7043,7.126144752958268e-05,0.007060125157260269,0.011425126006960551,-0.05939524838012955,0.05544532627865961
CHF,7043,-7.186616367149756e-05,0.003928538400468761,0.005065451252509368,-0.1440466278101582,0.08325083250832521
