case,counterparty_spread_bps,own_spread_bps,funding_spread_bps,recovery_rate,expected_exposure,pfe_95,cva,dva,fva,xva_reserve,xva_adjusted_payer_value
base,100.0,80.0,50.0,0.4,90201.26045670682,291856.6399022516,3498.8125176941353,6488.4046329849525,1823.3104570251544,-1166.2816582656628,-110487.75633778569
counterparty_spread_plus_50bp,150.0,80.0,50.0,0.4,90201.26045670682,291856.6399022516,5141.8710300084595,6488.4046329849525,1823.3104570251544,476.77685404866133,-112130.81485010001
counterparty_spread_minus_50bp,50.0,80.0,50.0,0.4,90201.26045670682,291856.6399022516,1785.846950634767,6488.4046329849525,1823.3104570251544,-2879.2472253250307,-108774.79077072632
own_spread_plus_50bp,100.0,130.0,50.0,0.4,90201.26045670682,291856.6399022516,3498.8125176941353,10329.40768484534,1823.3104570251544,-5007.28471012605,-106646.7532859253
funding_spread_plus_25bp,100.0,80.0,75.0,0.4,90201.26045670682,291856.6399022516,3498.8125176941353,6488.4046329849525,2734.9656855377316,-254.62642975308563,-111399.41156629827
recovery_20pct,100.0,80.0,50.0,0.2,90201.26045670682,291856.6399022516,3535.0014762021037,6542.170562771721,1823.3104570251544,-1183.858629544463,-110470.17936650688
recovery_60pct,100.0,80.0,50.0,0.6,90201.26045670682,291856.6399022516,3427.9140200056404,6382.637851091293,1823.3104570251544,-1131.413374060498,-110522.62462199085
