tenor_years,parallel_shift_bp,base_price,shocked_price,price_change_percent
2.0,-150.0,99.92643768458278,102.87781600020897,2.9535510161406986
2.0,-100.0,99.92643768458278,101.88429433562438,1.9592979559839296
2.0,-50.0,99.92643768458278,100.90053373228778,0.9748131428238604
2.0,0.0,99.92643768458278,99.92643768458278,0.0
2.0,50.0,99.92643768458278,98.96191064360757,-0.9652370917291542
2.0,100.0,99.92643768458278,98.00685800767752,-1.9209928036906465
2.0,150.0,99.92643768458278,97.06118611292243,-2.8673608687067365
5.0,-150.0,99.82861395426377,106.90958942230722,7.093132106679922
5.0,-100.0,99.82861395426377,104.49202433311189,4.671416534927197
5.0,-50.0,99.82861395426377,102.13216603107297,2.307506821505667
5.0,0.0,99.82861395426377,99.82861395426377,0.0
5.0,50.0,99.82861395426377,97.58000176686548,-2.2524726111378124
5.0,100.0,99.82861395426377,95.38499651986858,-4.4512462493279
5.0,150.0,99.82861395426377,93.24229783239686,-6.597623527944019
10.0,-150.0,99.9063698580745,113.01638332008379,13.122299890020205
10.0,-100.0,99.9063698580745,108.44200142868154,8.543630984423345
10.0,-50.0,99.9063698580745,104.07524967961098,4.17278680774682
10.0,0.0,99.9063698580745,99.9063698580745,0.0
10.0,50.0,99.9063698580745,95.92606909240916,-3.9840310195633055
10.0,100.0,99.9063698580745,92.12549749778563,-7.788164429697786
10.0,150.0,99.9063698580745,88.49622689857588,-11.420836304739822
30.0,-150.0,102.13830755447991,130.84066532066112,28.101462079613526
30.0,-100.0,102.13830755447991,120.14221299386409,17.62698626054775
30.0,-50.0,102.13830755447991,110.62292285864537,8.306986386708836
30.0,0.0,102.13830755447991,102.13830755447991,0.0
30.0,50.0,102.13830755447991,94.56245850241666,-7.417245530549188
30.0,100.0,102.13830755447991,87.78559488965499,-14.052232711188484
30.0,150.0,102.13830755447991,81.71194094597237,-19.99873220692662
